strategy,model,resample_time,train_time,threshold,precision,recall,f1,g_mean,auprc,auroc,tp,fp,tn,fn
baseline,logistic_regression,0.017000,0.241000,0.070000,0.700000,0.785714,0.740385,0.886148,0.734968,0.949969,77,33,56831,21
baseline,random_forest,0.015000,12.541000,0.380000,0.910112,0.826531,0.866310,0.909073,0.864127,0.951758,81,8,56856,17
baseline,xgboost,0.015000,1.010000,0.740000,0.931034,0.826531,0.875676,0.909089,0.875264,0.982124,81,6,56858,17
oversample,logistic_regression,0.091000,0.297000,0.740000,0.500000,0.877551,0.637037,0.936068,0.730920,0.962776,86,86,56778,12
oversample,random_forest,0.079000,11.304000,0.300000,0.803738,0.877551,0.839024,0.936604,0.871231,0.965955,86,21,56843,12
oversample,xgboost,0.156000,1.217000,0.790000,0.896552,0.795918,0.843243,0.892072,0.874705,0.975871,78,9,56855,20
undersample,logistic_regression,18.195000,0.239000,0.410000,0.171026,0.867347,0.285714,0.927935,0.721473,0.958980,85,412,56452,13
undersample,random_forest,18.236000,11.573000,0.640000,0.898876,0.816327,0.855615,0.903436,0.861818,0.967247,80,9,56855,18
undersample,xgboost,17.826000,1.196000,0.780000,0.879121,0.816327,0.846561,0.903421,0.854210,0.982503,80,11,56853,18
hybrid,logistic_regression,19.047000,0.270000,0.390000,0.494318,0.887755,0.635036,0.941470,0.747547,0.967657,87,89,56775,11
hybrid,random_forest,19.249000,12.948000,0.600000,0.911111,0.836735,0.872340,0.914668,0.871916,0.972861,82,8,56856,16
hybrid,xgboost,18.590000,1.118000,0.810000,0.888889,0.816327,0.851064,0.903428,0.876657,0.978944,80,10,56854,18
